Value,Unit,Chemical_Gradient,Parameter_Type,Std_Dev,N,Intra,Inter,Organism,Tissue_Type,Tropism_Type,Context,Physics_Basis,Injured,Healthy,Signaling_Type,Citation
0.12,μm,Mechanical strain,Wave amplitude,,,Yes,No,Various plants,Primary cell walls,Mechanical stress response,Inner wall surface buckling,Strain gradient-induced deformation,No,Yes,Mechanical deformation,Lipowczan et al. 2018
10.0,μm/min,Cell density/polarity,Velocity wave speed,,,No,Yes,Epithelial cells,Cell monolayer,Collective migration,Backward propagating density waves,Strain-polarity coupling in active matter,No,Yes,Collective behavior wave,Tlili et al. 2018
2.0,hours,Cell density/velocity,Wave period,,,No,Yes,Epithelial cells,Cell monolayer,Collective migration,Velocity oscillation period,Active nematic-like dynamics,No,Yes,Oscillatory wave pattern,Tlili et al. 2018
5.0,minutes,Turgor pressure,Pressure response time,,,Yes,No,Various plants,Leaf cells,Osmotic adjustment,Irrigation response,Osmotic pressure equilibration,No,Yes,Turgor pressure wave,Macedo et al. 2021
30.0,minutes,Auxin/growth factors,Cell velocity response time,,,Yes,Yes,Arabidopsis thaliana,Root cells,Growth response,IAA biosynthesis induction,Auxin-mediated cell expansion,No,Yes,Growth rate modulation,Hu et al. 2021
82.0,mV,Electric potential,Variation potential amplitude,,,Yes,Yes,Helianthus annuus,Leaf petiole,Thermal response,Burning stimulus response,Hydraulic pressure wave-induced depolarization,Yes,No,Variation potential,Macedo et al. 2021
4.0,minutes,Growth factors,Differential growth onset,,,Yes,No,Various plants,Root tissue,Gravitropism,Gravitropic bending initiation,Asymmetric cell expansion,No,Yes,Growth asymmetry wave,Leyser 2018
24.0,hours,Circadian factors,Oscillation period,,,Yes,Yes,Various plants,Whole plant,Circadian movement,Diurnal rhythms,Molecular clock oscillations,No,Yes,Circadian wave,General plant biology
3.0,minutes,CO2/H2O gradients,Stomatal response time,,,Yes,No,Various plants,Stomatal guard cells,Hydrotropic/gas exchange,Irrigation response,Ion transport and osmotic adjustment,No,Yes,Gas exchange wave,Macedo et al. 2021
0.5,normalized units,Morphogenetic fields,Energy gradient steepness,,,Yes,Yes,Modeled plants,Theoretical tissue,Multi-stimulus integration,Photogravitropic equilibrium,Energy landscape navigation,No,Yes,Optimization dynamics,Moulton et al. 2020
0.3,normalized,Nematic order parameter,Order parameter fluctuation,,,Yes,Yes,Plant cells (theoretical),Organized cell arrays,Collective orientation,Active nematic behavior,Liquid crystal-like ordering in biological systems,No,Yes,Nematic fluctuation,Theoretical plant biophysics
